dataset,molecule_chembl_id,std_smiles,pchembl,pchembl_sd,n_meas,endpoints,n_assay,year_min,year_max,pref_name
InhA_enzyme,CHEMBL3956359,C/C(CCC(=O)Nc1ccc(F)cc1)=N\NC(=O)c1ccc(-n2cccc2)cc1,5.11,,1,IC50,1,2016,2016,
InhA_enzyme,CHEMBL454588,C/C=C(\C)c1cc(O)c(C)c(OC(=O)c2c(/C(C)=C/C)cc(O)c(C)c2O)c1,4.12,,1,IC50,1,2002,2002,AGONODEPSIDE A
InhA_enzyme,CHEMBL4524771,CC(=O)Nc1ccc(/C=C2/SC(=S)N(CC(=O)c3ccccc3)C2=O)cc1,4.94,,1,IC50,1,2019,2019,
InhA_enzyme,CHEMBL217272,CC(=O)c1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,4.13,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL2323583,CC(C)[C@H]1OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC1=O,4.315,0.23334523779156074,2,IC50|Ki,2,2013,2020,
InhA_enzyme,CHEMBL387284,CC(C)c1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,5.26,,1,IC50,1,2006,2006,
InhA_enzyme,CHEMBL2323585,CC/C(C)=C1\OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC1=O,5.32,0.10714476188783083,5,IC50|Ki,5,2013,2020,PYRIDOMYCIN
InhA_enzyme,CHEMBL3597020,CC1(C)CCC(Cc2cc(O)c(-c3ccccc3)c(=O)[nH]2)CC1,6.24,0.7159143337951362,3,IC50,3,2018,2023,
InhA_enzyme,CHEMBL1269411,CCCCCCCCCCCCCCC#CC(=O)O,5.68,,1,Ki,1,2010,2010,
InhA_enzyme,CHEMBL505886,CCCCCCCCc1ccc(Oc2ccccc2)c(O)c1,8.3,0.4041451884327379,3,IC50|Ki,3,2008,2023,
InhA_enzyme,CHEMBL4172664,CCCCCCc1cc(=O)c(Oc2ccc(N)cc2C)cn1C,7.4,,1,Ki,1,2018,2018,
InhA_enzyme,CHEMBL261355,CCCCCCc1ccc(Oc2ccc(CN3CCN(C)CC3)cc2)c(O)c1,7.755,1.7606958851545034,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL264175,CCCCCCc1ccc(Oc2ccc(N)cc2)c(O)c1,7.4,0.9667126425848239,3,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL262343,CCCCCCc1ccc(Oc2ccc(NC(=O)C(=O)O)cc2)c(O)c1,7.355,2.326381310103741,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL260399,CCCCCCc1ccc(Oc2ccc(NC(=O)c3ccno3)cc2)c(O)c1,7.945,1.4919953083036153,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL262360,CCCCCCc1ccc(Oc2ccc(NC(C)=O)cc2)c(O)c1,7.445,2.1991020894901627,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL264417,CCCCCCc1ccc(Oc2ccc([N+](=O)[O-])cc2)c(O)c1,8.025,1.3788582233137674,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL404984,CCCCCCc1ccc(Oc2cccc(N)c2)c(O)c1,7.48,2.1496046148071044,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL263646,CCCCCCc1ccc(Oc2cccc(NC(=O)C(=O)O)c2)c(O)c1,7.62,1.951614716074871,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL405653,CCCCCCc1ccc(Oc2cccc(NC(=O)c3ccno3)c2)c(O)c1,7.46,2.1778888860545664,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL404983,CCCCCCc1ccc(Oc2cccc(NC(C)=O)c2)c(O)c1,7.125,2.6516504294495533,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL264416,CCCCCCc1ccc(Oc2cccc([N+](=O)[O-])c2)c(O)c1,7.68,0.8845337754998391,3,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL264682,CCCCCCc1ccc(Oc2ccccc2)c(O)c1,8.48,0.7353910524340092,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL4177124,CCCCCCc1ccc(Oc2ccccc2Br)c(O)c1,8.85,1.2020815280171302,2,IC50|Ki,1,2018,2018,
InhA_enzyme,CHEMBL3360252,CCCCCCc1ccc(Oc2ccccc2C#N)c(O)c1,7.65,1.4424978336205567,2,IC50|Ki,1,2018,2018,
InhA_enzyme,CHEMBL1236225,CCCCCCc1ccc(Oc2ccccc2C)c(O)c1,6.94,1.5887701143307285,7,IC50|Ki,5,2013,2018,
InhA_enzyme,CHEMBL408149,CCCCCCc1ccc(Oc2ccccc2CN2CCN(C)CC2)c(O)c1,7.4399999999999995,2.2061731573020285,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL4162007,CCCCCCc1ccc(Oc2ccccc2Cl)c(O)c1,8.165,1.2091525958289966,2,IC50|Ki,1,2018,2018,
InhA_enzyme,CHEMBL264434,CCCCCCc1ccc(Oc2ccccc2N)c(O)c1,7.8,0.9121586119383697,3,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL407324,CCCCCCc1ccc(Oc2ccccc2NC(=O)C(=O)O)c(O)c1,7.3149999999999995,2.3829498525986654,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL428967,CCCCCCc1ccc(Oc2ccccc2NC(=O)c2ccno2)c(O)c1,7.245,2.4819448019647816,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL264176,CCCCCCc1ccc(Oc2ccccc2NC(C)=O)c(O)c1,7.404999999999999,2.255670631985087,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL264415,CCCCCCc1ccc(Oc2ccccc2[N+](=O)[O-])c(O)c1,6.82,1.1054561652699455,4,IC50|Ki,3,2008,2018,
InhA_enzyme,CHEMBL264679,CCCCCCc1ccc(Oc2ccccn2)c(O)c1,4.94,2.635071156534487,3,IC50|Ki,3,2008,2012,
InhA_enzyme,CHEMBL405655,CCCCCCc1ccc(Oc2cccnc2)c(O)c1,7.8149999999999995,1.675843071412118,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL259138,CCCCCCc1ccc(Oc2ccncc2)c(O)c1,7.9,1.5556349186104044,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL258932,CCCCCCc1ccc(Oc2cnccn2)c(O)c1,7.595000000000001,1.986970055134198,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL258933,CCCCCCc1ccc(Oc2nc(OC)cc(OC)n2)c(O)c1,9.0,,1,Ki,1,2008,2008,
InhA_enzyme,CHEMBL258931,CCCCCCc1ccc(Oc2ncccn2)c(O)c1,7.045,2.764787514439401,2,IC50|Ki,2,2008,2008,
InhA_enzyme,CHEMBL429332,CCCCCCc1ccc(Oc2ncccn2)c(OC)c1,9.0,,1,Ki,1,2008,2008,
InhA_enzyme,CHEMBL4172132,CCCCCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,7.93,,1,Ki,1,2018,2018,
