molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,assay_chembl_id,assay_description,data_validity_comment,document_year,document_chembl_id,target_chembl_id,potential_duplicate,dataset,molecule_pref_name,pchembl,std_smiles
CHEMBL217926,O=C(Nc1ccccc1)C1CC(=O)N(C2CCCCC2)C1,IC50,10660.0,nM,=,4.97,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.97,O=C(Nc1ccccc1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL217524,O=C(Nc1ccc(F)c(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,14830.0,nM,=,4.83,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.83,O=C(Nc1ccc(F)c(Cl)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL384149,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,1600.0,nM,=,5.8,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,5.8,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1
CHEMBL216339,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,3670.0,nM,=,5.43,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,5.43,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL216704,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,IC50,1300.0,nM,=,5.89,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,5.89,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1
CHEMBL386324,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,850.0,nM,=,6.07,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,6.07,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,390.0,nM,=,6.41,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,6.41,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL385294,O=C(Nc1cc(F)cc(F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,1490.0,nM,=,5.83,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,5.83,O=C(Nc1cc(F)cc(F)c1)C1CC(=O)N(C2CCCCC2)C1
CHEMBL217617,Cc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,31370.0,nM,=,4.5,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.5,Cc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1
CHEMBL444361,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,23120.0,nM,=,4.64,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.64,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1
CHEMBL387186,Cc1cc(C)cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,IC50,3140.0,nM,=,5.5,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,5.5,Cc1cc(C)cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1
CHEMBL216887,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,IC50,10050.0,nM,=,5.0,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,5.0,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1
CHEMBL216748,Cc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)ccc1Br,IC50,37410.0,nM,=,4.43,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.43,Cc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)ccc1Br
CHEMBL425259,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,970.0,nM,=,6.01,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,6.01,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1
CHEMBL215081,O=C(Nc1cc(Cl)ccc1Cl)C1CC(=O)N(C2CCCCC2)C1,IC50,56500.0,nM,=,4.25,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.25,O=C(Nc1cc(Cl)ccc1Cl)C1CC(=O)N(C2CCCCC2)C1
CHEMBL217144,O=C(Nc1ccc(Cl)cc1Cl)C1CC(=O)N(C2CCCCC2)C1,IC50,56020.0,nM,=,4.25,CHEMBL907779,Inhibition of Mycobacterium tuberculosis InhA,,2006,CHEMBL1137386,CHEMBL1849,0,InhA_enzyme,,4.25,O=C(Nc1ccc(Cl)cc1Cl)C1CC(=O)N(C2CCCCC2)C1
