dataset,model,group,n,prevalence,roc_auc,ci_lo,ci_hi,perm_p_analogue_vs_singleton,delta_leakage,delta_leakage_ci_lo,delta_leakage_ci_hi,delta_residual,n_singleton
InhA_enzyme,RandomForest,scaffold_test,88,0.6136,0.8328,0.7419,0.9107,,,,,,
InhA_enzyme,RandomForest,random_test_singleton,22,0.5455,0.9,0.7179,1.0,,,,,,
InhA_enzyme,RandomForest,random_test_has_analogues,66,0.4091,0.9516,0.8958,0.989,0.3934,0.0516,-0.0738,0.2465,0.0672,22.0
InhA_enzyme,XGBoost,scaffold_test,88,0.6136,0.8366,0.7459,0.9136,,,,,,
InhA_enzyme,XGBoost,random_test_singleton,22,0.5455,0.8333,0.6,1.0,,,,,,
InhA_enzyme,XGBoost,random_test_has_analogues,66,0.4091,0.9316,0.8656,0.9823,0.125,0.0983,-0.0747,0.3323,-0.0033,22.0
InhA_enzyme,LogReg(baseline),scaffold_test,88,0.6136,0.8077,0.6986,0.8998,,,,,,
InhA_enzyme,LogReg(baseline),random_test_singleton,22,0.5455,0.85,0.6417,0.9917,,,,,,
InhA_enzyme,LogReg(baseline),random_test_has_analogues,66,0.4091,0.9487,0.8957,0.9859,0.099,0.0987,-0.0568,0.3171,0.0423,22.0
Mtb_whole_cell,RandomForest,scaffold_test,274,0.2044,0.8414,0.7762,0.9026,,,,,,
Mtb_whole_cell,RandomForest,random_test_singleton,65,0.1385,0.7937,0.5943,0.968,,,,,,
Mtb_whole_cell,RandomForest,random_test_has_analogues,209,0.3301,0.9263,0.8872,0.9598,0.0062,0.1326,-0.0423,0.3232,-0.0478,65.0
Mtb_whole_cell,XGBoost,scaffold_test,274,0.2044,0.7926,0.7285,0.8505,,,,,,
Mtb_whole_cell,XGBoost,random_test_singleton,65,0.1385,0.7837,0.577,0.9606,,,,,,
Mtb_whole_cell,XGBoost,random_test_has_analogues,209,0.3301,0.878,0.8292,0.9226,0.097,0.0942,-0.0857,0.3092,-0.0089,65.0
Mtb_whole_cell,LogReg(baseline),scaffold_test,274,0.2044,0.8233,0.7574,0.8829,,,,,,
Mtb_whole_cell,LogReg(baseline),random_test_singleton,65,0.1385,0.75,0.4868,0.9633,,,,,,
Mtb_whole_cell,LogReg(baseline),random_test_has_analogues,209,0.3301,0.9096,0.8624,0.9479,0.0047,0.1596,-0.0631,0.4102,-0.0733,65.0
